DATAFLOW,FREQ,TERRITORIAL_LEVEL,REF_AREA,TERRITORIAL_TYPE,MEASURE,ACTIVITY,PRICES,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,COUNTRY,OBS_STATUS,REF_YEAR_PRICE,UNIT_MULT,DECIMALS,CURRENCY
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2000,20537,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2001,21085,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2002,20679,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2003,21411,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2004,21481,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2005,20701,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2006,22189,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2007,22566,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2008,22205,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2009,21125,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2010,22953,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2011,23833,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2012,24272,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2013,24832,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2014,25886,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2015,25602,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2016,27128,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2017,28751,DEU,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2018,29388,DEU,E,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2019,29111,DEU,E,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2020,27068,DEU,E,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,DEG0L,_Z,GDP,_T,Q,USD_PPP_PS,2021,27719,DEU,E,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2000,19868,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2001,20689,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2002,20966,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2003,21954,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2004,22362,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2005,23313,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2006,24055,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2007,24065,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2008,24662,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2009,23398,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2010,24087,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2011,24914,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2012,25377,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2013,25394,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2014,25914,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2015,26253,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2016,26840,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2017,27100,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2018,27638,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2019,28414,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2020,26635,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2021,27359,FRA,P,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRY10,_Z,GDP,_T,Q,USD_PPP_PS,2022,28581,FRA,P,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2000,31680,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2001,31240,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2002,31100,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2003,30957,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2004,31868,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2005,31521,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2006,31222,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2007,31725,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2008,31138,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2009,29900,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2010,29065,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2011,30327,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2012,29253,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2013,29475,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2014,29819,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2015,30174,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2016,30386,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2017,31468,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2018,31224,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2019,31777,FRA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2020,30684,FRA,A,2015,0,0,USD
